  0 |  6   5   9  13  10   2   8  11  12   1  14  15  16   4   3   7  | G:  0 | H: 11
 14 |  3   4  16  15  14   1  12  11   8   2  10  13   9   5   6   7  | G:  1 | H: 10
  8 |  8  11  12   1  14  15  16   4   3   2  10  13   9   5   6   7  | G:  2 | H:  9
 11 | 13  10   2   3   4  16  15  14   1  12  11   8   9   5   6   7  | G:  3 | H:  8
  8 |  1  14  15  16   4   3   2  10  13  12  11   8   9   5   6   7  | G:  4 | H:  7
  5 |  3   4  16  15  14   1   2  10  13  12  11   8   9   5   6   7  | G:  5 | H:  7
  5 |  1  14  15  16   4   3   2  10  13  12  11   8   9   5   6   7  | G:  6 | H:  7
  5 |  3   4  16  15  14   1   2  10  13  12  11   8   9   5   6   7  | G:  7 | H:  7
  5 |  1  14  15  16   4   3   2  10  13  12  11   8   9   5   6   7  | G:  8 | H:  7
  5 |  3   4  16  15  14   1   2  10  13  12  11   8   9   5   6   7  | G:  9 | H:  7
  5 |  1  14  15  16   4   3   2  10  13  12  11   8   9   5   6   7  | G: 10 | H:  7
  5 |  3   4  16  15  14   1   2  10  13  12  11   8   9   5   6   7  | G: 11 | H:  7
  5 |  1  14  15  16   4   3   2  10  13  12  11   8   9   5   6   7  | G: 12 | H:  7
  5 |  3   4  16  15  14   1   2  10  13  12  11   8   9   5   6   7  | G: 13 | H:  7
  5 |  1  14  15  16   4   3   2  10  13  12  11   8   9   5   6   7  | G: 14 | H:  7
  5 |  3   4  16  15  14   1   2  10  13  12  11   8   9   5   6   7  | G: 15 | H:  7
  5 |  1  14  15  16   4   3   2  10  13  12  11   8   9   5   6   7  | G: 16 | H:  7
  5 |  3   4  16  15  14   1   2  10  13  12  11   8   9   5   6   7  | G: 17 | H:  7
  5 |  1  14  15  16   4   3   2  10  13  12  11   8   9   5   6   7  | G: 18 | H:  7
  5 |  3   4  16  15  14   1   2  10  13  12  11   8   9   5   6   7  | G: 19 | H:  7
  5 |  1  14  15  16   4   3   2  10  13  12  11   8   9   5   6   7  | G: 20 | H:  7
  5 |  3   4  16  15  14   1   2  10  13  12  11   8   9   5   6   7  | G: 21 | H:  7
  5 |  1  14  15  16   4   3   2  10  13  12  11   8   9   5   6   7  | G: 22 | H:  7




    0 |  6   5   9  13  10   2   8  11  12   1  14  15  16   4   3   7  | G:  0 | H: 11
 14 |  3   4  16  15  14   1  12  11   8   2  10  13   9   5   6   7  | G:  1 | H: 10
  8 |  8  11  12   1  14  15  16   4   3   2  10  13   9   5   6   7  | G:  2 | H:  9
 11 | 13  10   2   3   4  16  15  14   1  12  11   8   9   5   6   7  | G:  3 | H:  8
  8 |  1  14  15  16   4   3   2  10  13  12  11   8   9   5   6   7  | G:  4 | H:  7
  6 |  2   3   4  16  15  14   1  10  13  12  11   8   9   5   6   7  | G:  5 | H:  7
  5 | 14  15  16   4   3   2   1  10  13  12  11   8   9   5   6   7  | G:  6 | H:  6
  7 | 10   1   2   3   4  16  15  14  13  12  11   8   9   5   6   7  | G:  7 | H:  5
 12 |  9   8  11  12  13  14  15  16   4   3   2   1  10   5   6   7  | G:  8 | H:  5
 12 | 10   1   2   3   4  16  15  14  13  12  11   8   9   5   6   7  | G:  9 | H:  5
 12 |  9   8  11  12  13  14  15  16   4   3   2   1  10   5   6   7  | G: 10 | H:  5
 12 | 10   1   2   3   4  16  15  14  13  12  11   8   9   5   6   7  | G: 11 | H:  5
 12 |  9   8  11  12  13  14  15  16   4   3   2   1  10   5   6   7  | G: 12 | H:  5
 12 | 10   1   2   3   4  16  15  14  13  12  11   8   9   5   6   7  | G: 13 | H:  5
 12 |  9   8  11  12  13  14  15  16   4   3   2   1  10   5   6   7  | G: 14 | H:  5
